,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
43,15,Morar Lane,Josh,Holloway,28,Son,Single,Male,Building control surveyor,None,Sikh
44,15,Morar Lane,Denis,Holloway,26,Son,Widowed,Male,Newspaper journalist,None,None
45,15,Morar Lane,Stephen,Holloway,22,Son,Single,Male,University Student,None,Sikh
46,16,Morar Lane,Sian,Wells,66,Head,Married,Female,Rural practice surveyor,None,Christian
47,16,Morar Lane,Roger,Wells,69,Husband,Married,Male,Retired Hydrographic surveyor,None,None
48,16,Morar Lane,Dennis,Sharp,8,Grandson,NA,Male,Student,None,NA
49,16,Morar Lane,Justin,Kelly,7,Adopted Grandson,NA,male,Student,None,NA
50,17,Morar Lane,Brenda,Mann,47,Head,Single,Female,"Scientist, research (life sciences)",None,None
51,18,Morar Lane,Annette,Begum,86,Head,Widowed,Female,Retired Translator,None,Catholic
52,19,Morar Lane,Clare,Hall,59,Head,Married,Female,"Engineer, civil (consulting)",None,Christian
53,19,Morar Lane,Clifford,Hall,60,Husband,Married,Male,Further education lecturer,None,None
54,19,Morar Lane,Kyle,Hall,27,Son,Divorced,Male,Electronics engineer,None,Christian
55,19,Morar Lane,Mandy,Hall,10,Daughter,NA,Female,Student,None,NA
56,20,Morar Lane,Lawrence,Brown,26,Head,Divorced,Male,Unemployed,None,Catholic
57,21,Morar Lane,Gavin,Brown,35,Head,Married,Male,Archaeologist,None,None
58,21,Morar Lane,Lynn,Brown,27,Wife,Married,Female,Film/video editor,None,None
59,21,Morar Lane,Gavin,Brown,0,Son,NA,Male,Child,None,NA
60,21,Morar Lane,Pamela,Short,43,Lodger,Single,Female,"Sales professional, IT",None,None
61,21,Morar Lane,Garry,Smith,52,Lodger,Single,Male,Unemployed,None,None
62,22,Morar Lane,Louise,Graham,34,Head,Divorced,Female,"Designer, graphic",None,None
63,22,Morar Lane,Samantha,Graham,6,Daughter,NA,Female,Student,None,NA
64,1,Hooper Avenue,Tony,Hurst,72,Head,Married,Male,Retired Volunteer coordinator,None,Christian
65,1,Hooper Avenue,Carolyn,Hurst,69,Wife,Married,Female,Retired Town planner,None,Christian
66,2,Hooper Avenue,Paige,Hobbs,57,Head,Single,female,Restaurant manager,None,None
67,3,Hooper Avenue,Jayne,Turnbull-Jones,38,Head,Single,Female,"Scientist, biomedical",None,Methodist
68,3,Hooper Avenue,Owen,Parry,39,Partner,Single,Male,Clinical psychologist,None,Methodist
69,3,Hooper Avenue,Jasmine,Turnbull-Jones,3,Daughter,NA,Female,Child,None,NA
70,3,Hooper Avenue,Annette,Turnbull-Jones,1,Daughter,NA,Female,Child,None,NA
71,4,Hooper Avenue,Louise,Chapman,62,Head,Divorced,Female,Chief Technology Officer,None,Christian
72,5,Hooper Avenue,Charlotte,Lee,39,Head,Married,Female,Catering manager,None,Catholic
73,5,Hooper Avenue,Martyn,Lee,41,Husband,Married,Male,Oceanographer,None,Catholic
74,5,Hooper Avenue,Dylan,Lee,3,Son,NA,Male,Child,None,NA
75,5,Hooper Avenue,Ann,Lee,1,Daughter,NA,Female,Child,None,NA
76,6,Hooper Avenue,Laura,Watts,27,Head,Married,Female,"Investment banker, operational",None,None
77,6,Hooper Avenue,Julian,Watts,26,Husband,Married,Male,"Editor, magazine features",None,None
78,6,Hooper Avenue,Charles,Watts,2,Son,NA,Male,Child,None,NA
79,7,Hooper Avenue,Megan,Jarvis,62,Head,Married,Female,Company secretary,None,Christian
80,7,Hooper Avenue,Damien,Jarvis,64,Husband,Married,Male,Financial risk analyst,None,None
81,7,Hooper Avenue,Leonard,Jarvis,34,Son,Divorced,Male,Audiological scientist,None,Christian
82,8,Hooper Avenue,Judith,Palmer,49,Head,Divorced,Female,Unemployed,None,Catholic
83,8,Hooper Avenue,Leanne,Palmer,7,Daughter,NA,Female,Student,None,NA
84,8,Hooper Avenue,Debra,Palmer,4,Adopted Daughter,NA,Female,Child,None,NA
85,8,Hooper Avenue,Leonard,Pritchard,52,Sibling,Single,Male,Research scientist (maths),None,None
86,9,Hooper Avenue,Vanessa,Walker,45,Head,Married,Female,Tour manager,None,Catholic
87,9,Hooper Avenue,Tony,Walker,48,Husband,Married,Male,"Programme researcher, broadcasting/film/video",None,Catholic
88,9,Hooper Avenue,Paul,Walker,11,Son,NA,Male,Student,None,NA
89,9,Hooper Avenue,Bethan,Walker,9,Daughter,NA,Female,Student,None,NA
90,10,Hooper Avenue,Diane,Clements,60,Head,Widowed,Female,Unemployed,None,Methodist
91,10,Hooper Avenue,Marcus,Clements,34,Son,Single,Male,Haematologist,None,None
92,10,Hooper Avenue,Susan,Clements,34,Daughter,Single,Female,Printmaker,None,None
93,10,Hooper Avenue,Michelle,Clements,34,Daughter,Single,Female,Naval architect,None,Methodist
94,10,Hooper Avenue,Eileen,Clements,32,Daughter,Divorced,Female,Location manager,None,Methodist
95,11,Hooper Avenue,Hilary,Iqbal,32,Head,Married,Female,Research scientist (medical),None,Catholic
96,11,Hooper Avenue,Jeffrey,Iqbal,39,Husband,Married,Male,Publishing rights manager,None,Catholic
97,11,Hooper Avenue,Anthony,Iqbal,15,Son,NA,Male,Student,None,NA
98,1,Kingnod Road,Aimee,Wilson,35,Head,Single,Female,Colour technologist,None,Christian
99,1,Kingnod Road,Rebecca,Wilson,9,Daughter,NA,Female,Student,None,NA
100,1,Kingnod Road,Michael,Wilson,9,Son,NA,Male,Student,None,NA
101,2,Kingnod Road,Sophie,Morris,64,Head,Divorced,Female,"Engineer, site",None,Catholic
102,2,Kingnod Road,Patrick,Morris,35,Son,Single,Male,Data processing manager,None,Catholic
103,2,Kingnod Road,Terence,Morris,35,Son,Divorced,Male,Hospital pharmacist,None,Catholic
104,3,Kingnod Road,Amy,Bevan,58,Head,Single,Female,Community arts worker,None,None
105,3,Kingnod Road,Pauline,Bevan,29,Daughter,Divorced,Female,"Engineer, communications",None,None
106,3,Kingnod Road,Megan,Bevan,29,Daughter,Single,Female,"Surveyor, building",None,None
107,3,Kingnod Road,Debra,Bevan,26,Daughter,Single,Female,Environmental health practitioner,None,None
108,4,Kingnod Road,Claire,Smith,31,Head,Married,Female,"Engineer, building services",None,Christian
109,4,Kingnod Road,Leonard,Smith,33,Husband,Married,Male,"Engineer, biomedical",None,Christian
110,4,Kingnod Road,Megan,Smith,0,Daughter,NA,Female,Child,None,NA
111,5,Kingnod Road,Pamela,Moore,53,Head,Married,Female,"Doctor, hospital",None,None
112,5,Kingnod Road,Dominic,Moore,56,Husband,Married,Male,Community pharmacist,None,None
113,5,Kingnod Road,Carolyn,Baker,2,Granddaughter,NA,Female,Child,None,NA
114,5,Kingnod Road,Geoffrey,Johnson,52,Lodger,Single,Male,Insurance underwriter,None,Catholic
115,6,Kingnod Road,Angela,Chan,25,Head,Single,Female,Public librarian,None,None
116,6,Kingnod Road,Joe,Jones,27,Lodger,Single,Male,Immunologist,None,Methodist
117,6,Kingnod Road,Hilary,Thompson,25,Lodger,Divorced,Female,"Accountant, chartered certified",None,Christian
118,7,Kingnod Road,Gavin,Woodward,63,Head,Single,Male,"Physicist, medical",None,Christian
119,7,Kingnod Road,Edward,Thomas,38,None,Single,Male,Unemployed,None,Christian
120,7,Kingnod Road,Kathleen,Mitchell,34,None,Single,Female,"Journalist, newspaper",None,None
121,8,Kingnod Road,Teresa,Davies,58,Head,Single,Female,Theatre manager,None,Catholic
122,8,Kingnod Road,George,Davies,32,Son,Divorced,Male,Ophthalmologist,None,None
123,9,Kingnod Road,Sheila,Wilson,32,Head,Single,Female,"Teacher, primary school",None,None
124,9,Kingnod Road,Claire,Duffy,42,Lodger,Divorced,Female,Dance movement psychotherapist,None,Catholic
125,9,Kingnod Road,Russell,Mistry,30,Lodger,Widowed,Male,Personnel officer,None,None
126,10,Kingnod Road,Kerry,Patel,56,Head,Married,Female,Learning disability nurse,None,Christian
127,10,Kingnod Road,Keith,Patel,54,Husband,Married,Male,IT sales professional,None,None
128,10,Kingnod Road,Howard,Patel,13,Son,NA,Male,Student,None,NA
129,11,Kingnod Road,Owen,Chambers,18,Head,Married,Male,Student,None,NA
130,11,Kingnod Road,Amber,Chambers,19,Wife,Married,Female,University Student,None,NA
131,12,Kingnod Road,Jason,Woodward,72,Head,Widowed,Male,"Retired Pilot, airline",None,Catholic
132,13,Kingnod Road,Lucy,Pearson,28,Head,Single,Female,"Engineer, land",None,None
133,13,Kingnod Road,Tony,Wright,30,Partner,Single,Male,"Surveyor, hydrographic",None,None
134,13,Kingnod Road,Tracey,Pearson,2,Daughter,NA,Female,Child,None,NA
135,14,Kingnod Road,Sam,Swift,41,Head,Married,Male,Theme park manager,None,Christian
136,14,Kingnod Road,Olivia,Swift,38,Wife,Married,Female,Unemployed,None,Christian
137,14,Kingnod Road,Russell,Swift,18,Son,Single,Male,Student,None,Christian
138,14,Kingnod Road,Jay,Swift,16,Son,NA,Male,Student,None,NA
139,15,Kingnod Road,Valerie,Bishop,54,Head,Married,F,Museum/gallery curator,None,Methodist
140,15,Kingnod Road,Rhys,Bishop,59,Husband,Married,Male,Unemployed,None,Methodist
141,15,Kingnod Road,Sophie,Bishop,14,Daughter,NA,F,Student,None,NA
142,16,Kingnod Road,Eileen,Byrne,54,Head,Married,Female,Geophysicist/field seismologist,None,Christian
143,16,Kingnod Road,Benjamin,Byrne,62,Husband,Married,Male,Chief Financial Officer,None,None
144,16,Kingnod Road,Leah,Byrne,16,Daughter,NA,Female,Student,None,NA
145,16,Kingnod Road,Elliott,Byrne,12,Son,NA,Male,Student,None,NA
146,17,Kingnod Road,Lynn,Campbell,43,Head,Married,Female,Oncologist,None,Catholic
147,17,Kingnod Road,Roy,Campbell,47,Husband,Married,Male,Ambulance person,None,Catholic
148,17,Kingnod Road,Vincent,Campbell,21,Son,Divorced,Male,University Student,None,Catholic
149,17,Kingnod Road,Lynne,Campbell,17,Daughter,NA,Female,Student,None,NA
150,18,Kingnod Road,Michelle,Stokes,38,Head,Married,Female,Human resources officer,None,None
151,18,Kingnod Road,Vincent,Stokes,43,Husband,Married,Male,Outdoor activities/education manager,None,None
152,18,Kingnod Road,Antony,Stokes,6,Son,NA,Male,Student,None,NA
153,18,Kingnod Road,Tracey,Stokes,5,Daughter,NA,Female,Student,None,NA
154,19,Kingnod Road,Jasmine,Howarth,49,Head,Married,Female,Food technologist,None,None
155,19,Kingnod Road,Ross,Howarth,49,Husband,Married,Male,Trading standards officer,None,None
156,19,Kingnod Road,Sian,Howarth,16,Daughter,NA,Female,Student,None,NA
157,20,Kingnod Road,Anna,Rose,24,Head,Married,Female,English as a foreign language teacher,None,None
158,20,Kingnod Road,Maurice,Rose,26,Husband,Married,Male,"Teacher, early years/pre",None,None
159,20,Kingnod Road,Phillip,Rose,1,Step-Son,NA,Male,Child,None,NA
160,21,Kingnod Road,Helen,Owen,47,Head,Married,Female,"Engineer, structural",None,None
161,21,Kingnod Road,Neil,Owen,49,Husband,Married,Male,"Therapist, horticultural",None,None
162,21,Kingnod Road,Victor,Owen,17,Son,NA,Male,Student,None,NA
163,22,Kingnod Road,Wayne,Jennings,37,Head,Married,Male,Unemployed,None,Christian
164,22,Kingnod Road,Catherine,Jennings,35,Wife,Married,Female,Health and safety adviser,None,Christian
165,22,Kingnod Road,Damien,Harper,19,Lodger,Divorced,Male,University Student,None,None
166,22,Kingnod Road,Nicola,Thomas,42,Lodger,Single,Female,"Scientist, research (life sciences)",None,Catholic
167,23,Kingnod Road,Carolyn,Green,25,Head,Single,Female,"Production assistant, television",None,None
168,23,Kingnod Road,Reece,Hammond,27,Partner,Single,M,"Pharmacist, hospital",None,None
169,24,Kingnod Road,Abigail,Hunt,63,Head,Married,Female,Chartered legal executive (England and Wales),None,Methodist
170,24,Kingnod Road,Damien,Hunt,70,Husband,Married,Male,Retired Community arts worker,None,Methodist
171,24,Kingnod Road,Donald,Connor,5,Grandson,NA,Male,Student,None,NA
172,25,Kingnod Road,Callum,Roberts,43,Head,Single,Male,"Engineer, broadcasting (operations)",None,Christian
173,25,Kingnod Road,Gillian,Chambers,19,None,Single,Female,University Student,None,Methodist
174,25,Kingnod Road,Conor,Hardy,32,None,Single,Male,"Therapist, speech and language",None,None
175,26,Kingnod Road,Bethany,Cooper,48,Head,Married,Female,Community development worker,None,None
176,26,Kingnod Road,Mark,Cooper,50,Husband,Married,Male,Metallurgist,None,None
177,26,Kingnod Road,Gary,Cooper,30,Son,Single,Male,Diplomatic Services operational officer,None,None
178,26,Kingnod Road,Leon,Cooper,30,Son,Single,Male,Meteorologist,None,None
179,26,Kingnod Road,Edward,Cooper,8,Son,NA,Male,Student,None,NA
180,27,Kingnod Road,Charlene,O'Sullivan,49,Head,Married,Female,Commercial horticulturist,None,Christian
181,27,Kingnod Road,Dominic,O'Sullivan,48,Husband,Married,Male,Cartographer,None,Christian
182,27,Kingnod Road,Naomi,O'Sullivan,26,Daughter,Single,Female,Oceanographer,None,Christian
183,28,Kingnod Road,Frances,Wall,22,Head,Single,Female,University Student,None,None
184,28,Kingnod Road,Michelle,Singh,20,None,Single,Female,University Student,None,Christian
185,28,Kingnod Road,John,Smart,22,None,Single,Male,University Student,None,None
186,29,Kingnod Road,Jenna,Johnson,35,Head,Widowed,Female,Geophysical data processor,None,None
187,29,Kingnod Road,Callum,Johnson,16,Son,NA,Male,Student,None,NA
188,29,Kingnod Road,Sara,Johnson,11,Daughter,NA,Female,Student,None,NA
189,30,Kingnod Road,Margaret,Fox,87,Head,Single,Female,Retired Environmental education officer,None,Christian
190,30,Kingnod Road,Ryan,Fox,43,Son,Single,Male,"Education officer, environmental",None,None
191,30,Kingnod Road,Lee,Fox,40,Son,Single,Male,Animal nutritionist,None,Christian
192,31,Kingnod Road,Victoria,Parsons,55,Head,Married,Female,Neurosurgeon,None,None
193,31,Kingnod Road,Frank,Johnson,56,Husband,Married,Male,Academic librarian,None,None
194,31,Kingnod Road,Eleanor,Parsons,26,Daughter,Single,Female,"Teacher, English as a foreign language",None,None
195,32,Kingnod Road,Debra,Pearce,66,Head,Widowed,Female,Unemployed,None,None
196,32,Kingnod Road,William,Pearce,38,Son,Single,Male,Pharmacologist,None,None
197,33,Kingnod Road,Allan,Williamson,33,Head,Single,Male,Warden/ranger,None,None
198,33,Kingnod Road,Pauline,Lee,34,Partner,Single,Female,Unemployed,None,None
199,33,Kingnod Road,Bryan,Williamson,6,Son,NA,Male,Student,None,NA
200,34,Kingnod Road,Rachel,Short,40,Head,Married,Female,"Engineer, site",None,Christian
201,34,Kingnod Road,Oliver,Short,46,Husband,Married,Male,"Designer, fashion/clothing",None,None
202,34,Kingnod Road,Simon,Short,11,Son,NA,Male,Student,None,NA
203,35,Kingnod Road,Amy,Williams,53,Head,Married,Female,Social researcher,None,None
204,35,Kingnod Road,Abdul,Williams,55,Husband,Married,Male,Mudlogger,None,None
205,35,Kingnod Road,Alex,Williams,16,Son,NA,Male,Student,None,NA
206,1,Lobster Key,Danielle,Clark,43,Head,Single,Female,Risk manager,None,Christian
207,2,Lobster Key,Samantha,Griffiths,41,Head,Divorced,Female,Ambulance person,None,Christian
208,2,Lobster Key,Barry,Griffiths,14,Step-Son,NA,Male,Student,None,NA
209,2,Lobster Key,Jacob,Griffiths,7,Step-Son,NA,Male,Student,None,NA
210,3,Lobster Key,Alice,Bibi,80,Head,Widowed,Female,Retired Immigration officer,None,Christian
211,3,Lobster Key,Amanda,Allen,23,Granddaughter,Divorced,Female,"Administrator, local government",None,Christian
212,3,Lobster Key,Dawn,Allen,21,Granddaughter,Divorced,Female,University Student,None,Christian
213,3,Lobster Key,Billy,Allen,17,Grandson,NA,Male,Student,None,NA
214,3,Lobster Key,Kate,Parsons,13,Granddaughter,NA,Female,Student,None,NA
215,4,Lobster Key,Pamela,Roberts,33,Head,Married,Female,Chief Strategy Officer,None,Catholic
216,4,Lobster Key,Jordan,Roberts,35,Husband,Married,Male,IT trainer,None,Catholic
217,4,Lobster Key,Connor,Roberts,16,Son,NA,Male,Student,None,NA
218,5,Lobster Key,Graham,Turner,21,Head,Single,Male,University Student,None,None
219,5,Lobster Key,Rosemary,Clark,20,Partner,Single,Female,University Student,None,None
220,6,Lobster Key,Joyce,Martin,66,Head,Married,Female,Musician,None,Catholic
221,6,Lobster Key,Gary,Martin,72,Husband,Married,Male,Retired Press photographer,None,None
222,6,Lobster Key,Jack,Davies,33,Son,Single,Male,Musician,None,None
223,6,Lobster Key,Francesca,Davies,29,Daughter,Divorced,Female,Gaffer,None,None
224,6,Lobster Key,Rita,Davies,28,Daughter,Single,Female,Commissioning editor,None,Catholic
225,7,Lobster Key,Gail,Woods,42,Head,Single,Female,Commercial/residential surveyor,None,None
226,8,Lobster Key,Wendy,Hodgson,45,Head,Married,Female,Company secretary,None,Catholic
227,8,Lobster Key,Shane,Hodgson,48,Husband,Married,Male,Hospital doctor,None,Catholic
228,8,Lobster Key,Hazel,Hodgson,14,Daughter,NA,f,Student,None,NA
229,9,Lobster Key,Amelia,Reed,24,Head,Married,Female,Hotel manager,None,Christian
230,9,Lobster Key,Leonard,Reed,24,Husband,Married,Male,Mining engineer,None,None
231,9,Lobster Key,Christopher,Reed,1,Son,NA,Male,Child,None,NA
232,9,Lobster Key,Graeme,Taylor,1,Son,NA,Male,Child,None,NA
233,10,Lobster Key,Shannon,Green,52,Head,Married,Female,Training and development officer,None,Christian
234,10,Lobster Key,Martin,Green,54,Husband,Married,Male,Arts administrator,None,None
235,10,Lobster Key,Guy,Green,16,Son,NA,Male,Student,None,NA
236,11,Lobster Key,Lindsey,Wood,34,Head,Married,Female,"Lighting technician, broadcasting/film/video",None,None
237,11,Lobster Key,Geoffrey,Wood,35,Husband,Married,Male,Mechanical engineer,None,None
238,11,Lobster Key,Marion,Wood,2,Daughter,NA,Female,Child,None,NA
239,12,Lobster Key,Guy,Spencer,46,Head,Divorced,Male,Merchant navy officer,None,Christian
240,13,Lobster Key,Shannon,Hill,65,Head,Married,Female,"Sound technician, broadcasting/film/video",None,Christian
241,13,Lobster Key,Cameron,Hill,67,Husband,Married,Male,Health physicist,None,Christian
242,13,Lobster Key,Jake,Hill,29,Son,Widowed,Male,Sports development officer,None,None
243,14,Lobster Key,Melanie,Robertson,39,Head,Widowed,Female,Unemployed,None,Methodist
244,14,Lobster Key,Eileen,Robertson,10,Daughter,NA,Female,Student,None,NA
245,14,Lobster Key,Rita,Robertson,7,Daughter,NA,Female,Student,None,NA
246,14,Lobster Key,Rachael,Robertson,6,Daughter,NA,Female,Student,None,NA
247,14,Lobster Key,Francesca,Robertson,6,Daughter,NA,Female,Student,None,NA
248,14,Lobster Key,Elliott,Robertson,2,Son,NA,Male,Child,None,NA
249,15,Lobster Key,Brian,Simpson,34,Head,Single,Male,Airline pilot,None,Catholic
250,15,Lobster Key,Hayley,Burns,36,Partner,Single,Female,Print production planner,None,None
251,15,Lobster Key,Iain,Simpson,3,Son,NA,Male,Child,None,NA
252,15,Lobster Key,Rosemary,Akhtar,21,Lodger,Single,Female,University Student,None,None
253,16,Lobster Key,Georgina,Francis,28,Head,Married,Female,Herbalist,None,None
254,16,Lobster Key,Tom,Francis,30,Husband,Married,Male,"Engineer, broadcasting (operations)",None,None
255,16,Lobster Key,Annette,Francis,1,Daughter,NA,Female,Child,None,NA
256,16,Lobster Key,Jake,Browne,39,Lodger,Single,Male,Associate Professor,None,None
257,16,Lobster Key,Jack,Brown,47,Visitor,Single,Male,Printmaker,None,Christian
258,17,Lobster Key,Megan,Walker,39,Head,Divorced,Female,Architect,None,None
259,18,Lobster Key,Jenna,O'Brien,19,Head,Single,Female,University Student,None,None
260,18,Lobster Key,Graeme,Sheppard,19,Partner,Single,Male,University Student,None,None
261,19,Lobster Key,Ruth,Weston,58,Head,Married,Female,"Pilot, airline",None,Christian
262,19,Lobster Key,Martyn,Weston,60,Husband,Married,Male,Occupational therapist,None,Christian
263,19,Lobster Key,Albert,Weston,14,Son,NA,Male,Student,None,NA
264,20,Lobster Key,Michelle,Todd,46,Head,Single,Female,Airline pilot,None,Christian
265,20,Lobster Key,Abdul,Hunter,42,Partner,Single,Male,Writer,None,Christian
266,20,Lobster Key,Duncan,Todd,7,Son,NA,Male,Student,None,NA
267,1,Smith Island,Amy,Murphy,43,Head,Married,Female,Associate Professor,None,None
268,1,Smith Island,Aaron,Murphy,44,Husband,Married,Male,Unemployed,None,None
269,1,Smith Island,Christopher,Murphy,15,Son,NA,Male,Student,None,NA
270,2,Smith Island,Carl,Chandler,29,Head,Single,Male,"Scientist, biomedical",None,Catholic
271,2,Smith Island,Kirsty,Warner,37,None,Single,Female,Private music teacher,None,None
272,2,Smith Island,Lorraine,Kaur,18,None,Single,Female,Student,None,NA
273,2,Smith Island,Harriet,Cameron,56,None,Single,Female,Applications developer,None,None
274,2,Smith Island,Roger,Parker,28,None,Single,Male,Software engineer,None,Catholic
275,3,Smith Island,Leah,Johnson,62,Head,Single,Female,"Psychologist, sport and exercise",None,Christian
276,3,Smith Island,Guy,Bennett,35,None,Single,Male,"Engineer, control and instrumentation",None,Christian
277,3,Smith Island,Louise,Jones,61,None,Single,Female,Social worker,None,Christian
278,3,Smith Island,Jason,West,44,None,Single,Male,Intelligence analyst,None,None
279,4,Smith Island,Yvonne,Bennett,76,Head,Widowed,Female,Retired Office manager,None,Catholic
280,4,Smith Island,Declan,Bennett,44,Son,Single,Male,Fisheries officer,None,Catholic
281,4,Smith Island,Diana,Bennett,42,Daughter,Single,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,Catholic
282,4,Smith Island,Hannah,Bennett,42,Daughter,Single,Female,Manufacturing engineer,None,Catholic
283,5,Smith Island,Yvonne,Allen,43,Head,Widowed,Female,Unemployed,None,None
284,5,Smith Island,Ross,Allen,10,Son,NA,Male,Student,None,NA
285,6,Smith Island,Hilary,Williams,30,Head,Divorced,Female,Civil Service fast streamer,None,None
286,7,Smith Island,Jodie,O'Neill,74,Head,Divorced,Female,Retired Electronics engineer,None,Christian
287,7,Smith Island,Howard,O'Neill,41,Son,Single,Male,Magazine features editor,None,Christian
288,8,Smith Island,Beth,Kaur,89,Head,Married,Female,Retired Horticultural therapist,None,Christian
289,8,Smith Island,Thomas,Kaur,90,Husband,Married,Male,"Retired Buyer, retail",None,Christian
290,9,Smith Island,Steven,Simpson,88,Head,Married,Male,Retired Records manager,None,Christian
291,9,Smith Island,Janice,Simpson,86,Wife,Married,Female,"Retired Production designer, theatre/television/film",None,None
292,10,Smith Island,Chloe,Byrne-Jones,61,Head,Married,Female,Freight forwarder,None,Christian
293,10,Smith Island,Leon,Byrne-Jones,63,Husband,Married,Male,Product manager,None,Christian
294,11,Smith Island,Jane,Dale,93,Head,Married,Female,Unemployed,None,None
295,11,Smith Island,Duncan,Dale,94,Husband,Married,Male,Unemployed,None,None
296,12,Smith Island,Alison,Barber,50,Head,Married,F,"Engineer, manufacturing",None,Methodist
297,12,Smith Island,Deborah,Barber,47,Wife,Married,Female,Magazine features editor,None,Methodist
298,12,Smith Island,Paige,Barber,19,Daughter,Single,Female,University Student,None,Methodist
299,12,Smith Island,Lesley,Barber,15,Daughter,NA,Female,Student,None,NA
300,13,Smith Island,Malcolm,Walsh,39,Head,Married,Male,Unemployed,None,None
301,13,Smith Island,Sharon,Walsh,34,Wife,Married,Female,Consulting civil engineer,None,None
302,14,Smith Island,Leslie,Johnson,64,Head,Single,Male,Bonds trader,None,Catholic
303,15,Smith Island,Karl,Brooks,47,Head,Married,Male,Retail merchandiser,None,Catholic
304,15,Smith Island,Carolyn,Brooks,51,Wife,Married,Female,Immigration officer,None,Catholic
305,16,Smith Island,Jonathan,Watson,58,Head,Married,Male,Ergonomist,None,Christian
306,16,Smith Island,Georgia,Watson,57,Wife,Married,Female,Music tutor,None,Catholic
